ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal,EventMedal
13969,David Alasdair Boudia,Male,27.0,175.0,73.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Diving,"['Platform', 'Synchronized Platform']","['Silver', 'Bronze']",Platform: Bronze; Synchronized Platform: Silver
14250,Alex Bowen,Male,22.0,196.0,102.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Water Polo,['Water Polo'],['Did Not Place'],Water Polo: Did Not Place
14266,"Frentorish ""Tori"" Bowie",Female,25.0,175.0,58.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,"['4 x 100 metres Relay', '200 metres', '100 metres']","['Silver', 'Bronze', 'Gold']",4 x 100 metres Relay: Gold; 200 metres: Bronze; 100 metres: Silver
14489,Marvin Bracy,Male,22.0,175.0,78.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,['100 metres'],['Did Not Place'],100 metres: Did Not Place
15029,Morgan Paige Brian,Female,23.0,170.0,58.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Football,['Football'],['Did Not Place'],Football: Did Not Place
15227,Allison M. Brock,Female,36.0,168.0,59.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Equestrianism,"['ixed Dressage, Team', 'ixed Dressage, Individual']","['Did Not Place', 'Bronze']","ixed Dressage, Team: Bronze; ixed Dressage, Individual: Did Not Place"
15325,Trayvon Jaquez Bromell,Male,21.0,175.0,70.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,"['4 x 100 metres Relay', '100 metres']",['Did Not Place'],100 metres: Did Not Place; 4 x 100 metres Relay: Did Not Place
15374,"Christopher Dean ""Chris"" Brooks",Male,29.0,173.0,75.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Gymnastics,"['Individual All-Around', 'Rings', 'Team All-Around', 'Floor Exercise', 'Horizontal Bar', 'Parallel Bars', 'Pommelled Horse']",['Did Not Place'],Team All-Around: Did Not Place; Floor Exercise: Did Not Place; Pommelled Horse: Did Not Place; Individual All-Around: Did Not Place; Rings: Did Not Place; Horizontal Bar: Did Not Place; Parallel Bars: Did Not Place
15493,Colton Brown,Male,24.0,183.0,91.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Judo,['Middleweight'],['Did Not Place'],Middleweight: Did Not Place
15560,Mackenzie Brown,Female,21.0,178.0,75.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Archery,['Individual'],['Did Not Place'],Individual: Did Not Place
15604,Will Brown,Male,24.0,170.0,61.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Shooting,"['Air Pistol, 10 metres', 'Free Pistol, 50 metres']",['Did Not Place'],"Air Pistol, 10 metres: Did Not Place; Free Pistol, 50 metres: Did Not Place"
16087,Charlie Buckingham,Male,27.0,188.0,82.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Sailing,['One Person Dinghy'],['Did Not Place'],One Person Dinghy: Did Not Place
